lyrics_chunk,song,artist,year,rank,source,decade,mood
you never close your eyes anymore when i kiss your lips and theres no tenderness like before in your fingertips youre trying hard not to show it but baby baby i know ityou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohnow theres no welcome look in your eyes when i reach for you and now youre starting to criticize little things i do it makes me just feel like crying cause baby something beautifuls dyinyou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohbaby baby id get down on my knees for you if you would only love me like you used to do yeah we had a love a love a love you dont find everyday so dont dont dont dont let it slip awaybaby baby baby baby i beg you please please please please i need your love need your love i need your love i need your love so bring it on back so bring it on back bring it on back bring it on backbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone and i cant go on wohbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone,youve lost that lovin feelin,the righteous brothers,1965,5,1,1960s,confident
i said Ì¢shotgun shoot em for he runs now do the jerk baby do the jerk now heyÌ¢ put on your red dress and then you go downtown now i said Ì¢buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs nowÌ¢ shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said Ì¢shotgun shoot em for he runs now do the jerk baby do the jerk now heyÌ¢ i said Ì¢its twine timeÌ¢ i said Ì¢its twine timeÌ¢ i said Ì¢its twine timeÌ¢ hey,shotgun,junior walker the all stars,1965,15,3,1960s,confident
come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bagcome here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new baghes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligatorcome here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag,papas got a brand new bag,james brown,1965,33,1,1960s,confident
once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone,like a rolling stone,bob dylan,1965,41,1,1960s,confident
here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can now we gotta run mmm no more time for fun mmm when were getting angry mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can yeah here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can,catch us if you can,the dave clark five,1965,54,3,1960s,confident
ian whitcomb miscellaneous you turn me on turn on song you turn me on ian whitcomb come on now honey you know you really turn me on come on now honey you know you really turn me on and when and when you do uh huh huh huh uh uh thats my song come on now baby come on and do the jerk with me come on now honey come on and do the jerk with me and if if you do uh huh huh huh uh uh thats my song break come on now baby you know you really turn me on ah come on now honey you know you really turn me on ah yeah and when and when you do uh huh huh huh uh uh thats my song lets go taken from the 45 from kay w simons,you turn me on,ian whitcomb,1965,57,3,1960s,confident
well ill be doggone if i wouldnt work all day and ill be doggone if i wouldnt bring you my pay baby but if i ever caught you running around blowing my money all over this town then i wouldnt be doggone hey hey id be long gone then i wouldnt be doggone wouldnt be doggone id be long gone mmhmm id be long gone now hey hey heyill be doggone if you aint a pretty thing baby and ill be doggone if you aint warm as a breath of spring baby and if we live to be a hundred years old if you ever let that spring turn cold then i wouldnt be doggone wouldnt be doggone hey hey hey id be long gone id be long gone oh i wouldnt be doggone wouldnt be doggone baby id be long gone id be long gone mmhmm now did you hear me well now what i say oh believe mewell every woman should try to be whatever her man wants her to be and i dont want much all i want from you is for you to be true to meill be doggone if love aint a mans best friend oh baby oh baby and ill be doggone if you aint the loving end baby though i know you make me feel like nobody could if i ever found out that youre no good then i wouldnt be doggone wouldnt be wouldnt be wouldnt be doggone id be long gone id be long gone well i wouldnt be doggone wouldnt be doggone id be long gone id be long gone i wouldnt be doggone wouldnt be doggone catch me a train id be long gone no baby i wouldnt be doggone im gonna catch me a train,ill be doggone,marvin gaye,1965,58,1,1960s,confident
well she was walking down the street looking fine as she could be hey hey well she was walking down that street looking fine as she can be well you know i love you baby wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover well you know i love you baby wo yeah what id say hey hey she strolled on up to me said hey big boy whats your name hey hey well she strolled on up to me she said hey big boy whats your name if you want love and conversation wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover if you want love and conversation wo yeah what id say hey hey well you know i love you baby wo yeah what id say hey hey come on do it to me baby yeah,shes about a mover,sir douglas quintet,1965,65,5,1960s,confident
shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake,shake,sam cooke,1965,66,1,1960s,confident
go away from my window leave at your own chosen speed im not the one you want babe im not the one you needyou say youre lookin for someone whos never weak but always strong to protect you an defend you whether you are right or wrongsomeone to open each and every door but it aint me babe no no no it aint me babe well it aint me youre lookin for babego lightly from the ledge babe go lightly on the ground im not the one you want babe ill only lead your downyou say youre lookin for someone wholl promise never to part someone to close his eyes to you someone to close his heartsomeone who will die for you an more but it aint me babe no no no it aint me babe well it aint me youre lookin for babe no it aint me youre lookin for babei said no no no it aint me babe i said no no no it aint me babe i said no no no it aint me babe i said no no no it aint me babe,it aint me babe,the turtles,1965,73,1,1960s,confident
