lyrics_chunk,song,artist,year,rank,source,decade,mood,baseline_text,controlled_text
you never close your eyes anymore when i kiss your lips and theres no tenderness like before in your fingertips youre trying hard not to show it but baby baby i know ityou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohnow theres no welcome look in your eyes when i reach for you and now youre starting to criticize little things i do it makes me just feel like crying cause baby something beautifuls dyinyou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohbaby baby id get down on my knees for you if you would only love me like you used to do yeah we had a love a love a love you dont find everyday so dont dont dont dont let it slip awaybaby baby baby baby i beg you please please please please i need your love need your love i need your love i need your love so bring it on back so bring it on back bring it on back bring it on backbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone and i cant go on wohbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone,youve lost that lovin feelin,the righteous brothers,1965,5,1,1960s,confident,you never close your eyes anymore when i kiss your lips and theres no tenderness like before in your fingertips youre trying hard not to show it but baby baby i know ityou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohnow theres no welcome look in your eyes when i reach for you and now youre starting to criticize little things i do it makes me just feel like crying cause baby something beautifuls dyinyou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohbaby baby id get down on my knees for you if you would only love me like you used to do yeah we had a love a love a love you dont find everyday so dont dont dont dont let it slip awaybaby baby baby baby i beg you please please please please i need your love need your love i need your love i need your love so bring it on back so bring it on back bring it on back bring it on backbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone and i cant go on wohbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone,"<MOOD=confident> <DECADE=1960s>
you never close your eyes anymore when i kiss your lips and theres no tenderness like before in your fingertips youre trying hard not to show it but baby baby i know ityou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohnow theres no welcome look in your eyes when i reach for you and now youre starting to criticize little things i do it makes me just feel like crying cause baby something beautifuls dyinyou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohbaby baby id get down on my knees for you if you would only love me like you used to do yeah we had a love a love a love you dont find everyday so dont dont dont dont let it slip awaybaby baby baby baby i beg you please please please please i need your love need your love i need your love i need your love so bring it on back so bring it on back bring it on back bring it on backbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone and i cant go on wohbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone"
i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' put on your red dress and then you go downtown now i said 'buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs now' shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' i said 'its twine time' i said 'its twine time' i said 'its twine time' hey,shotgun,junior walker the all stars,1965,15,3,1960s,confident,i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' put on your red dress and then you go downtown now i said 'buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs now' shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' i said 'its twine time' i said 'its twine time' i said 'its twine time' hey,"<MOOD=confident> <DECADE=1960s>
i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' put on your red dress and then you go downtown now i said 'buy yourself a shotgun now were gonna break it down baby now were gonna load it up baby now and then you shoot him for he runs now' shotgun shoot em for he runs now do the jerk baby do the jerk now hey put on your high heels shoes i said were goin down here listen to em play blues were gonna dig potatoes were gonna pick tomatoes i said 'shotgun shoot em for he runs now do the jerk baby do the jerk now hey' i said 'its twine time' i said 'its twine time' i said 'its twine time' hey"
come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bagcome here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new baghes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligatorcome here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag,papas got a brand new bag,james brown,1965,33,1,1960s,confident,come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bagcome here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new baghes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligatorcome here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag,"<MOOD=confident> <DECADE=1960s>
come here sister papas in the swing he aint too hip about that new breed babe he aint no drag papas got a brand new bagcome here mama and dig this crazy scene hes not too fancy but his line is pretty clean he aint no drag papas got a brand new baghes doing the jerk hes doing the fly dont play him cheap cause you know he aint shy hes doing the monkey the mashed potatoes jump back jack see you later alligatorcome here sister papas in the swing he aint too hip now but i can dig that new breed babe he aint no drag hes got a brand new bag"
once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone,like a rolling stone,bob dylan,1965,41,1,1960s,confident,once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone,"<MOOD=confident> <DECADE=1960s>
once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone"
here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can now we gotta run mmm no more time for fun mmm when were getting angry mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can yeah here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can,catch us if you can,the dave clark five,1965,54,3,1960s,confident,here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can now we gotta run mmm no more time for fun mmm when were getting angry mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can yeah here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can,"<MOOD=confident> <DECADE=1960s>
here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can now we gotta run mmm no more time for fun mmm when were getting angry mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can yeah here they come again mmm catch us if you can mmm time to get a move on mmm we will yell with all of our might catch us if you can catch us if you can catch us if you can catch us if you can"
ian whitcomb miscellaneous you turn me on turn on song you turn me on ian whitcomb come on now honey you know you really turn me on come on now honey you know you really turn me on and when and when you do uh huh huh huh uh uh thats my song come on now baby come on and do the jerk with me come on now honey come on and do the jerk with me and if if you do uh huh huh huh uh uh thats my song break come on now baby you know you really turn me on ah come on now honey you know you really turn me on ah yeah and when and when you do uh huh huh huh uh uh thats my song lets go taken from the 45 from kay w simons,you turn me on,ian whitcomb,1965,57,3,1960s,confident,ian whitcomb miscellaneous you turn me on turn on song you turn me on ian whitcomb come on now honey you know you really turn me on come on now honey you know you really turn me on and when and when you do uh huh huh huh uh uh thats my song come on now baby come on and do the jerk with me come on now honey come on and do the jerk with me and if if you do uh huh huh huh uh uh thats my song break come on now baby you know you really turn me on ah come on now honey you know you really turn me on ah yeah and when and when you do uh huh huh huh uh uh thats my song lets go taken from the 45 from kay w simons,"<MOOD=confident> <DECADE=1960s>
ian whitcomb miscellaneous you turn me on turn on song you turn me on ian whitcomb come on now honey you know you really turn me on come on now honey you know you really turn me on and when and when you do uh huh huh huh uh uh thats my song come on now baby come on and do the jerk with me come on now honey come on and do the jerk with me and if if you do uh huh huh huh uh uh thats my song break come on now baby you know you really turn me on ah come on now honey you know you really turn me on ah yeah and when and when you do uh huh huh huh uh uh thats my song lets go taken from the 45 from kay w simons"
well she was walking down the street looking fine as she could be hey hey well she was walking down that street looking fine as she can be well you know i love you baby wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover well you know i love you baby wo yeah what id say hey hey she strolled on up to me said hey big boy whats your name hey hey well she strolled on up to me she said hey big boy whats your name if you want love and conversation wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover if you want love and conversation wo yeah what id say hey hey well you know i love you baby wo yeah what id say hey hey come on do it to me baby yeah,shes about a mover,sir douglas quintet,1965,65,5,1960s,confident,well she was walking down the street looking fine as she could be hey hey well she was walking down that street looking fine as she can be well you know i love you baby wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover well you know i love you baby wo yeah what id say hey hey she strolled on up to me said hey big boy whats your name hey hey well she strolled on up to me she said hey big boy whats your name if you want love and conversation wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover if you want love and conversation wo yeah what id say hey hey well you know i love you baby wo yeah what id say hey hey come on do it to me baby yeah,"<MOOD=confident> <DECADE=1960s>
well she was walking down the street looking fine as she could be hey hey well she was walking down that street looking fine as she can be well you know i love you baby wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover well you know i love you baby wo yeah what id say hey hey she strolled on up to me said hey big boy whats your name hey hey well she strolled on up to me she said hey big boy whats your name if you want love and conversation wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover if you want love and conversation wo yeah what id say hey hey well you know i love you baby wo yeah what id say hey hey come on do it to me baby yeah"
shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake,shake,sam cooke,1965,66,1,1960s,confident,shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake,"<MOOD=confident> <DECADE=1960s>
shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake"
carterlewis every time i see you lookin my way baby baby cant you hear my heartbeat in the car or walking down the highway baby baby cant you hear my heartbeat when you move up closer to me i get a feelin thats ooowee cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love when i feel you put your arms around me baby baby cant you hear my heartbeat then im glad im mighty glad i found you baby baby cant you hear my heartbeat when you asked me to meet your ma i knew that baby wed be going far cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love rhythm guitar all my friends are cryin out to meet you baby baby cant you hear my heartbeat nows the time to go and see the preacher baby baby cant you hear my heartbeat wedding bells are gonna chime baby baby youre gonna be mine cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat,cant you hear my heart beat,hermans hermits,1965,8,5,1960s,happy,carterlewis every time i see you lookin my way baby baby cant you hear my heartbeat in the car or walking down the highway baby baby cant you hear my heartbeat when you move up closer to me i get a feelin thats ooowee cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love when i feel you put your arms around me baby baby cant you hear my heartbeat then im glad im mighty glad i found you baby baby cant you hear my heartbeat when you asked me to meet your ma i knew that baby wed be going far cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love rhythm guitar all my friends are cryin out to meet you baby baby cant you hear my heartbeat nows the time to go and see the preacher baby baby cant you hear my heartbeat wedding bells are gonna chime baby baby youre gonna be mine cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat,"<MOOD=happy> <DECADE=1960s>
carterlewis every time i see you lookin my way baby baby cant you hear my heartbeat in the car or walking down the highway baby baby cant you hear my heartbeat when you move up closer to me i get a feelin thats ooowee cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love when i feel you put your arms around me baby baby cant you hear my heartbeat then im glad im mighty glad i found you baby baby cant you hear my heartbeat when you asked me to meet your ma i knew that baby wed be going far cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love rhythm guitar all my friends are cryin out to meet you baby baby cant you hear my heartbeat nows the time to go and see the preacher baby baby cant you hear my heartbeat wedding bells are gonna chime baby baby youre gonna be mine cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat"
ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl,my girl,the temptations,1965,10,3,1960s,happy,ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl,"<MOOD=happy> <DECADE=1960s>
ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl"
